datetime,date,time,city,state,country,shape,duration (seconds),duration (hours/min),comments,latitude,longitude,lighting_conditions
12/27/2010 17:00,2010-12-27,17:00,alabaster,al,us,circle,1800,30 minutes,2 ufo&#39s seen over mall in Alabaster&#44 Alabama,33.24,-86.82,daylight
12/27/2010 17:45,2010-12-27,17:45,chatham (canada),on,ca,circle,300,5 minutes,a lot of people must have seen this orange object over the skys of chatham,42.4,-82.18,daylight
12/27/2010 18:15,2010-12-27,18:15,west covina,ca,us,sphere,120,about 2 minutes,Oblong shaped UFO with glowing underbelly sighted over Los Angeles area &#8211; no explanation.,34.09,-117.89,night
12/27/2010 20:00,2010-12-27,20:00,fremont,ca,us,triangle,1200,20 minutes,UFO was observed as a triangle shaped object with a glowing green light below&#44  Craft lowered to 1000 feet&#44 hovered  w/ no sound .,37.55,-121.99,night
12/27/2010 22:30,2010-12-27,22:30,tucson,az,us,other,120,2 min,Bright orange solid lights hanging stationary over city.,32.22,-110.93,night
12/27/2011 05:25,2011-12-27,05:25,albuquerque/aiport,nm,,circle,5,5 seconds,Yellow ball accelerates rapidly from a standstill over Albuquerque Int&#39l Airport,35.05,-106.62,night
12/27/2011 12:53,2011-12-27,12:53,santa rosa,ca,us,circle,20,20 sec.,Two orange globes rising straight up in the sky next to one another,38.44,-122.71,daylight
12/27/2011 15:50,2011-12-27,15:50,imperial,mo,us,fireball,15,10  to 15 seconds,Saw two reddish orange orbs or objects come down from the clouds in Imperial&#44 MO while driving north on I-55,38.37,-90.38,daylight
12/27/2011 18:30,2011-12-27,18:30,redondo beach,ca,us,triangle,7,7 seconds,Triangle UFO flys low over Redondo Beach,33.85,-118.39,night
12/27/2011 19:00,2011-12-27,19:00,media,pa,us,flash,45,30-45 seconds,Sky flashed bright blue and red,39.92,-75.39,night
12/27/2011 19:15,2011-12-27,19:15,auburn,ca,us,sphere,60,1 minute,Large and orange amber colored sphere hovering in the sky over Auburn&#44 CA,38.9,-121.08,night
12/27/2011 21:45,2011-12-27,21:45,security,co,us,chevron,20,about 20 seconds,Lights hovering in sky over Security&#44  Colorado.,38.76,-104.74,night
12/27/2011 22:00,2011-12-27,22:00,puyallup,wa,us,other,3,3 seconds,I was upstairs cleaning out a closet and my husband was sleeping; the kids were downstairs and started screaming as they loudly ran up,47.19,-122.29,night
12/27/2011 22:10,2011-12-27,22:10,edwards,co,us,light,300,5 min.,3 ufo&quot;s 10-15 miles apart looked like stars crisp light changing color moving slow and steady west south west,39.65,-106.59,night
12/27/2012 00:45,2012-12-27,00:45,willow grove,pa,us,flash,5,3-5 seconds,Blue lights over PA.,40.14,-75.12,night
12/27/2012 03:00,2012-12-27,03:00,wilmington,de,us,oval,1810,10s; 30m,It sparkled and quickly zipped above the trees.,39.75,-75.55,night
12/27/2012 06:50,2012-12-27,06:50,san diego,ca,us,unknown,300,5 minutes,Sparkling comet or fireball that split in mid air.,32.72,-117.16,daylight
12/27/2012 08:00,2012-12-27,08:00,las vegas,nv,us,triangle,900,15 minutes,Lighted hovering object above the hotel.  ((NUFORC Note:  Possible sighting of Sirius??  PD)),36.17,-115.14,daylight
12/27/2012 08:06,2012-12-27,08:06,okeeckobee,fl,,diamond,480,8 minutes,Another bright light over Lake Okeechobee.,27.24,-80.83,daylight
12/27/2012 17:15,2012-12-27,17:15,new york city (manhattan),ny,us,fireball,30,30 seconds,12/27/12- newyork&#44 ny - 5:15pm reddish orange fireball just sitting there as i looked north toward empire state bldg - duration= 20secs,40.71,-74.01,daylight
12/27/2012 19:00,2012-12-27,19:00,foley,al,us,light,240,3-4 minutes,Two sets of orange lights seen over Foley&#44 Alabama.,30.41,-87.68,night
12/27/2012 20:00,2012-12-27,20:00,riverdale,mi,us,light,2700,45 minutes,Bright light in sky.,43.39,-84.84,night
12/27/2012 20:30,2012-12-27,20:30,youngsville,nc,us,formation,300,5 minutes,At 8:30pm red flashing lights appeared in the sky above the tree lines&#44 making different formation patterns.,36.02,-78.47,night
12/27/2012 21:15,2012-12-27,21:15,chuluota,fl,us,fireball,600,10 minutes,I saw multiple red-orange orbs over Orlando&#44 FL that were in landing formation then one at a time went straight up in the clouds.,28.64,-81.12,night
12/27/2012 22:00,2012-12-27,22:00,spokane,wa,us,oval,900,10-15 minutes,Lights seen onve Spokane.,47.66,-117.42,night
12/27/2012 22:20,2012-12-27,22:20,pompano beach,fl,us,fireball,300,5 minutes,Fireball.   ((NUFORC Note:  Report from pilot.  PD)),26.24,-80.12,night
12/27/2012 23:00,2012-12-27,23:00,augusta,ga,us,light,120,2 minutes,Star like light moving slow with some impossble movement.,33.47,-81.98,night
12/27/2013 00:00,2013-12-27,00:00,keyser,wv,us,flash,120,1-2 minutes,red and white lights tjat telaported across the sky moving with strange angels.,39.44,-78.97,night
12/27/2013 05:50,2013-12-27,05:50,helena,mt,us,unknown,3,3 seconds,green ball of light fallin outta the sky in HELENA&#44 MT.,46.59,-112.04,night
12/27/2013 17:10,2013-12-27,17:10,shrewsbury,ma,us,light,300,5 minutes,Bright light heading east. No sound. Just after dusk.,42.3,-71.71,daylight
12/27/2013 17:30,2013-12-27,17:30,marietta,mn,us,light,120,2 minutes,&quot;Star&quot; glows orange and spins in vortex&#44 flies off at great speed.,45.01,-96.42,daylight
12/27/2013 17:30,2013-12-27,17:30,vandalia,il,us,light,600,10 minutes,&quot;Star&quot; moves after being stationary.,38.96,-89.09,daylight
12/27/2013 17:40,2013-12-27,17:40,allentown (east side),pa,us,sphere,1200,~20 minutes,A formation of 4 reddish orange speares moving in formation&#44 one after the other.,40.61,-75.49,daylight
12/27/2013 18:00,2013-12-27,18:00,marietta,mn,us,light,120,several minutes,Orange lights emit beams and a massive white light pulses with radiant haloes in a race across the sky.,45.01,-96.42,night
12/27/2013 18:00,2013-12-27,18:00,port saint lucie,fl,us,oval,600,10 minutes,Craft was darting around with no sound.,27.29,-80.35,night
12/27/2013 18:15,2013-12-27,18:15,wellington,co,us,changing,1500,25 minutes,Unusual moving lights over the Fort Collins area.,40.7,-105.01,night
12/27/2013 18:45,2013-12-27,18:45,haverhill,ma,us,cigar,60,1 minute,It was not far above the tree line&#44 200 feet?.....cruising along at the speed of a plane....but it had a different look than a plane...,42.78,-71.08,night
12/27/2013 19:00,2013-12-27,19:00,tucson,az,us,fireball,120,2 minutes,Looked like a bright orange fire flying across the sky of Tucson.,32.22,-110.93,night
12/27/2013 19:12,2013-12-27,19:12,vista,ca,us,triangle,600,10 minutes,Low flying triangular objects changing colors 10 minutes apart San Diego North County.,33.2,-117.24,night
12/27/2013 19:30,2013-12-27,19:30,marietta,ga,us,fireball,600,10 minutes,Red hazy sphere.  Pure red&#44 no blinking light.  Went out of sight vertically.,33.95,-84.55,night
12/27/2013 19:30,2013-12-27,19:30,wrightsville beach,nc,us,other,600,10 minutes,Orange colored object in the eastern sky over the ocean near Wrightsvillle Beach&#44 NC.,34.21,-77.8,night
12/27/2013 19:40,2013-12-27,19:40,hutchinson,mn,us,diamond,120,2 minutes,Slow moving diamond shaped flame.,44.89,-94.37,night
12/27/2013 20:00,2013-12-27,20:00,largo,fl,us,sphere,3600,1 hour,Many orbs in sky over Largo FL 12/27/13&#44 7 PM.,27.91,-82.79,night
12/27/2013 20:27,2013-12-27,20:27,sterling,va,us,light,660,11 minutes,10 Redish orange lights not blinking near Dulles Airport Sterling VA. 20:25 till 20:34 12/27/13.,39.01,-77.43,night
12/27/2013 20:30,2013-12-27,20:30,salinas,ca,us,light,600,10 minutes,For the past couple of days starting December 22&#44 2013 I have seen a distant object in the sky that moves speratically up&#44 down&#44 side t,36.68,-121.65,night
12/27/2013 20:40,2013-12-27,20:40,fallbrook,ca,us,light,60,1 minutes,Red light.,33.38,-117.25,night
12/27/2013 20:45,2013-12-27,20:45,aiken,sc,us,light,30,30 seconds,Very bright red light moving across the sky&#44 disappears. Another one of the same comes back 30 minutes later. disappears.,33.56,-81.72,night
12/27/2013 21:00,2013-12-27,21:00,missoula,mt,us,light,300,5 minutes,Chinese paper lanterns at  9pm or UFO&#39s?,46.87,-113.99,night
